Rank,learning_rate,batch_size,num_epochs,optimizer,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
38,0.005,32,30,adam,0.7481773769259676,0.4133637320238513,0.41434332807294405,17,102790
39,0.001,32,15,sgd,0.5109357384441939,0.41178533847772714,0.4059267052428546,15,102790
40,0.005,64,15,sgd,0.6182638105975198,0.41160996141704664,0.408030860950377,15,102790
41,0.0001,32,20,adam,0.5564449455092071,0.4089793055068397,0.40697878309661584,20,102790
42,0.0001,128,30,adam,0.5294250281848929,0.40406874780778673,0.40557601262493426,30,102790
43,0.0001,64,15,adam,0.4522735813603908,0.39705366538056824,0.40382254953533225,15,102790
44,0.005,32,15,adam,0.6905298759864712,0.3967029112592073,0.3924250394529195,12,102790
45,0.0005,32,20,sgd,0.47809094325441565,0.39582602595580496,0.3878660354199544,20,102790
46,0.0001,32,15,adam,0.5,0.3944230094703613,0.3885674206557952,15,102790
47,0.0001,64,20,adam,0.504847801578354,0.3928446159242371,0.39032088374539714,20,102790
48,0.001,128,30,sgd,0.4546035325065765,0.38968782883198877,0.3873399964930738,30,102790
49,0.001,64,20,sgd,0.4760240511086058,0.38547877937565767,0.37559179379274066,20,102790
50,0.0005,32,30,sgd,0.5508831266441188,0.38074359873728514,0.3782219884271436,30,102790
51,0.0005,32,15,sgd,0.4224727546035325,0.3761837951595931,0.3740136770120989,15,102790
52,0.005,32,20,adam,0.6588500563697858,0.37600841809891267,0.37699456426442224,10,102790
53,0.001,64,15,sgd,0.43021420518602027,0.36092599088039284,0.36507101525512886,15,102790
54,0.0005,64,30,sgd,0.45986471251409244,0.35987372851631005,0.3556023145712783,30,102790
55,0.0001,128,20,adam,0.4615933859451334,0.35987372851631005,0.3545502367175171,20,102790
56,0.0001,128,15,adam,0.40815482901164973,0.34847421957207997,0.34788707697702964,15,102790
57,0.001,128,20,sgd,0.3872228485531755,0.3330410382321992,0.33298264071541295,20,102790
58,0.0005,64,20,sgd,0.3891394212701992,0.32918274289722904,0.32702086621076626,20,102790
59,0.0005,128,30,sgd,0.3708380308154829,0.3198877586811645,0.3159740487462739,30,102790
60,0.0001,32,30,sgd,0.3465238632093198,0.30270080673447913,0.30159565141153777,30,102790
61,0.001,128,15,sgd,0.34806463735437804,0.30252542967379864,0.2996668420129756,15,102790
62,0.0005,64,15,sgd,0.3524990605035701,0.29551034724658015,0.2914255654918464,15,102790
63,0.0005,128,20,sgd,0.3102968808718527,0.2777972641178534,0.27301420305102575,20,102790
64,0.0001,64,30,sgd,0.25411499436302143,0.25377060680462993,0.2430299842188322,30,102790
65,0.0001,32,20,sgd,0.2893649004133784,0.24552788495264818,0.24653691039803613,20,102790
66,0.0005,128,15,sgd,0.27406989853438557,0.23974044195019292,0.24022444327546905,15,102790
67,0.0001,32,15,sgd,0.2536264562194664,0.22062434233602246,0.21918288620024548,15,102790
68,0.0001,64,20,sgd,0.20717775272453964,0.20641880042090494,0.20147290899526565,20,102790
69,0.0001,64,15,sgd,0.1720030063885757,0.17204489652753419,0.1711379975451517,15,102790
70,0.0001,128,30,sgd,0.17433295753476136,0.16292528937215012,0.15833771699105734,30,102790
71,0.0001,128,20,sgd,0.11311537016159338,0.10487548228691687,0.10748728739260038,20,102790
72,0.0001,128,15,sgd,0.09064261555806088,0.09066994037179937,0.09118008065930212,15,102790
