Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc
1,3.007859351517607,2.6046536077494706,0.16850807966929726,0.23237460540161348
2,2.4043064840661543,2.2847918055844447,0.28042089440060125,0.3162048404068748
3,2.1512809088963936,2.1431737528563133,0.34374295377677566,0.3055068397053665
4,1.9810764729551067,1.9942858628497464,0.3947012401352875,0.39056471413539107
5,1.8528814168856225,1.9278603125688947,0.4463359639233371,0.3688179586110137
6,1.752348983023499,1.8857459898623865,0.47722660653889515,0.353034023149772
7,1.664373940733401,1.8246315113497131,0.5109357384441939,0.402665731322343
8,1.583379936039067,1.7565017400060525,0.5420518602029313,0.40775166608207647
9,1.5119118625980623,1.7626436540261774,0.570011273957159,0.4195019291476675
10,1.453980407738139,1.7196885861668074,0.5872604284103721,0.4175727814801824
11,1.391842663032764,1.6524139670312132,0.6173618940248027,0.4451069800070151
12,1.3426175306363914,1.6348743142265472,0.6330702743329575,0.4521220624342336
13,1.2939639691435632,1.6374447376257242,0.6556933483652763,0.44002104524728164
14,1.2498611509329571,1.5728837845828063,0.6706877113866967,0.4710627849877236
15,1.2076866759881182,1.5738286057174184,0.6820368282600526,0.46141704665029815
16,1.172902369552965,1.5423640338883655,0.697782788425404,0.46141704665029815
17,1.1369702586998665,1.5399277327730545,0.7080796692972566,0.4682567520168362
18,1.1080579148338774,1.479460862802648,0.7137918075911311,0.4938618028761838
19,1.0731214393668047,1.4853734708760589,0.7286358511837655,0.4919326552086987
20,1.0399837005949253,1.4934502007960437,0.7364524614806464,0.47421957207997195
21,1.0139797221086653,1.485614506331129,0.7477264186396092,0.49456331111890567
22,0.9905148825489547,1.4622163834466468,0.7527996993611424,0.49631708172571026
23,0.964607451966453,1.4622935749112158,0.7615933859451334,0.5047351806383725
24,0.9423309627263808,1.467441578239192,0.7682074408117249,0.4891266222378113
25,0.9176863027353656,1.4366703147179032,0.7777903043968433,0.5017537706068046
26,0.8999581428364406,1.4194450776897285,0.7807215332581736,0.5082427218519817
27,0.878559182062941,1.409191869133943,0.7868846298384066,0.5092949842160646
28,0.8589737848606561,1.4150313915850112,0.7923337091319053,0.5036829182742897
29,0.836501327957797,1.434906489052132,0.8018789928598271,0.5057874430024553
30,0.8233608802428419,1.418015464696078,0.8042465238632093,0.49947386881795863
