Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc
1,0.8287396475521527,0.44553856973698663,0.7222096956031567,0.8525078919677306
2,0.3986041777589096,0.38088546821900476,0.8735813603908306,0.8695194668537355
3,0.28725659505221596,0.37999883249156396,0.909282224727546,0.8888109435285865
4,0.25290079291872136,0.24892527497429381,0.9228861330326945,0.9272185198176078
5,0.207047877940904,0.2683804479164017,0.9367531003382187,0.9172220273588214
6,0.17061165375050544,0.2683211514502189,0.9482149567831643,0.9219572079971939
7,0.15676898495544397,0.256018524104223,0.952423900789177,0.9309014380918976
8,0.1465122257451373,0.27108471487037594,0.9560315670800451,0.9231848474219572
9,0.1299260508936852,0.2454935132500708,0.9607290492296129,0.9340582251841459
10,0.12404197206547815,0.2458715482537515,0.9612551672303645,0.9410733076113644
11,0.10459702723638226,0.33066432331683804,0.9676813228109733,0.9135391090845317
12,0.09891906963596216,0.24663312170721174,0.9690717775272454,0.9351104875482287
13,0.07896391861490717,0.2665292435113023,0.9745960165351372,0.9363381269729919
14,0.08507784238013053,0.24315998637058972,0.9732431416760616,0.9379165205191161
15,0.07290743477572538,0.2547947184030151,0.9762871101089816,0.9414240617327254
