Rank,learning_rate,batch_size,num_epochs,freeze_layers,dropout,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
1,0.001,32,20,2,0.3,0.9554678692220969,0.9396702911259207,0.9386287918639312,10,11196006
2,0.001,64,20,2,0.3,0.9745960165351372,0.9373903893370747,0.935647904611608,14,11196006
3,0.001,64,15,2,0.3,0.9651258925216084,0.935987372851631,0.933017709977205,11,11196006
4,0.001,32,15,2,0.3,0.9733934611048478,0.9312521922132585,0.9265298965456777,15,11196006
5,0.0001,32,20,2,0.3,0.9807591131153701,0.9233602244826377,0.9193406978783096,15,11196006
