Rank,learning_rate,batch_size,num_epochs,freeze_layers,dropout,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
1,0.001,32,15,2,0.3,0.9686583990980834,0.9459838653104174,0.9388041381728914,14,15337968
2,0.001,32,20,2,0.3,0.9723036452461481,0.9442300947036127,0.9345958267578467,14,15337968
3,0.001,64,20,2,0.3,0.9653889515219842,0.9370396352157138,0.9370506750832895,11,15337968
4,0.001,64,15,2,0.3,0.9581360390830514,0.9279200280603297,0.9277573207083991,10,15337968
5,0.0001,64,20,2,0.3,0.97576099210823,0.9230094703612768,0.9149570401543048,11,15337968
