Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc
1,0.8886561925050147,0.6309487913542152,0.7237880496054115,0.8019992984917573
2,0.40047311215685616,0.3169590092278162,0.8717775272453965,0.8984566818660119
3,0.29434545797004324,0.3356087609853756,0.9103720405862458,0.8956506488951245
4,0.24276389529363682,0.2859809824518052,0.9244269071777528,0.9144159943879341
5,0.20047935539508663,0.31924886433378263,0.9386696730552424,0.9016134689582602
6,0.1888400698449548,0.2587925009935786,0.9425779782036828,0.9277446509996492
7,0.16316058081327994,0.3352342991505285,0.9500187899285982,0.9051210101718695
8,0.14205616449349942,0.22967626943874625,0.9562570462232244,0.9370396352157138
9,0.13429386896976891,0.27229993029127453,0.9586621570838031,0.9330059628200631
10,0.11199318411116402,0.25199182597091874,0.9632468996617812,0.9375657663977551
11,0.11234422503714721,0.25983486618024765,0.9654265313791808,0.933707471062785
12,0.09882327237329909,0.26982402350976986,0.9684329199549042,0.9365135040336724
13,0.0861613900611742,0.24957239952935373,0.9730928222472754,0.9424763240968081
