Model,Val Accuracy,Test Accuracy,Tuning Combinations,Top 5 Mean Val Acc
CNN,0.9750964573833742,0.9708925127126073,288,0.9739740441950193
Transfer Learning,0.9396702911259207,0.9386287918639312,16,0.9335320940021046
MLP,0.7314977200982111,0.7269857969489742,648,0.7050157839354613
SimpleNN,0.5156085584005612,0.5037699456426442,72,0.5103823219922834
