Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc
1,2.620813143786431,1.7779284009010237,0.17290492296129276,0.33356716941424064
2,1.7738827401289856,1.5389714545427562,0.3229988726042841,0.39828130480533147
3,1.6210851380628823,1.5642756904814796,0.3703870725291244,0.4009119607155384
4,1.559591831841983,1.4888604150157942,0.3870349492671928,0.4152928796913364
5,1.5014670053580255,1.4741697789325667,0.4066892145809846,0.4259908803928446
6,1.462252543376649,1.4537133708915055,0.4235625704622322,0.40862855138547877
7,1.4350235205761073,1.333707198328154,0.4310033821871477,0.4652753419852683
8,1.3981316737239857,1.3831065696651414,0.44145058248778657,0.45299894773763594
9,1.3654364886475614,1.322732278941933,0.4617812852311161,0.4838653104173974
10,1.3548301393579871,1.3307519840884736,0.4604659902292371,0.4757979656260961
11,1.3406969710786913,1.3356338515485726,0.46798196166854567,0.48158540862855137
12,1.2936327505362566,1.2865946617556303,0.49270950770387073,0.5042090494563312
13,1.271138970827707,1.3276965864203931,0.5042841037204059,0.5064889512451771
14,1.2363154088675818,1.2458560276098396,0.5216459977452086,0.5224482637670993
15,1.19529873257694,1.2842076829507534,0.5431792559188275,0.526131182041389
16,1.158604153400523,1.1720909872041674,0.5640736565201052,0.5690985619081024
17,1.1090440954762444,1.1106530240191697,0.5869973694099963,0.5903191862504384
18,1.0712479210939232,1.1957920247402078,0.6025554302893649,0.5703262013328657
19,1.031094834366404,1.20004443265563,0.6199924840285607,0.5587513153279551
20,1.0016378093778258,1.061369512738449,0.6310033821871477,0.6178533847772711
21,0.9775334556225501,1.0987519616622416,0.6388575723412251,0.6039985969835145
22,0.9595691737354541,0.985934827587806,0.6454716272078166,0.6411785338477727
23,0.9249968385481377,1.061392032778167,0.6612551672303645,0.6262714836899334
24,0.9034659921428576,0.9890615982325275,0.6686583990980834,0.6352157137846369
25,0.8845590935439733,0.931609623100163,0.6758737316798196,0.6674850929498422
26,0.8515588410856669,0.9065117180577414,0.6878992859827132,0.6657313223430376
27,0.8394803812431241,0.9300703132457794,0.6937993235625705,0.6783584707120308
28,0.8268519327811664,0.9854112273557109,0.6998872604284103,0.65152578042792
29,0.8128707234862155,0.8797777581114553,0.7041337842916197,0.6862504384426517
30,0.7803457789562646,0.8965531118039037,0.7135287485907553,0.6787092248333918
