Rank,learning_rate,batch_size,hidden_sizes,dropout,num_epochs,optimizer,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
31,0.001,128,"[256, 128]",0.1,20,adam,0.6567455843667794,0.6301297790249035,0.6265123619147817,20,730278
32,0.0005,32,"[512, 256, 128]",0.1,20,adam,0.6469748214956783,0.6297790249035427,0.6189724706294932,20,1554086
33,0.005,32,"[256, 128]",0.2,20,sgd,0.5658023299511462,0.6294282707821817,0.6200245484832544,20,730278
34,0.0005,128,"[512, 256, 128]",0.2,30,adam,0.6293498684704998,0.6290775166608208,0.6212519726459758,30,1554086
35,0.0005,128,"[256, 128]",0.1,20,adam,0.6355881247651259,0.6289021396001403,0.6291425565491846,20,730278
36,0.0001,32,"[512, 256, 128]",0.2,30,adam,0.6434798947763999,0.6283760084180989,0.6242328598982991,30,1554086
37,0.005,32,"[1024, 512, 256, 128]",0.1,30,sgd,0.696880871852687,0.6278498772360576,0.6237068209714185,30,3463846
38,0.005,64,"[256, 128]",0.1,20,sgd,0.6488538143555055,0.6271483689933357,0.6272137471506225,20,730278
39,0.0005,32,"[512, 256, 128]",0.2,30,adam,0.6218714768883878,0.6267976148719747,0.623180782044538,30,1554086
40,0.0005,64,"[256, 128]",0.2,20,adam,0.6156708004509582,0.6255699754472115,0.6159915833771699,20,730278
41,0.0005,64,"[256, 128]",0.1,20,adam,0.6514092446448704,0.6252192213258506,0.6191478169384534,20,730278
42,0.0005,128,"[256, 128]",0.3,30,adam,0.6178504321683578,0.6234654507190459,0.6265123619147817,29,730278
43,0.001,64,"[256, 128]",0.2,30,adam,0.6137166478767381,0.623114696597685,0.6096791162546028,30,730278
44,0.001,32,"[256, 128]",0.1,15,adam,0.6033070274332958,0.6215363030515608,0.6112572330352446,15,730278
45,0.0005,128,"[512, 256, 128]",0.1,20,adam,0.6494926719278467,0.6215363030515608,0.62493424513414,20,1554086
46,0.001,64,"[256, 128]",0.2,20,adam,0.5832018038331455,0.6206594177481586,0.6180957390846923,20,730278
47,0.0005,32,"[256, 128]",0.1,15,adam,0.6377677564825254,0.6190810242020344,0.6088023847098019,15,730278
48,0.001,128,"[512, 256, 128]",0.2,30,adam,0.5974821495678316,0.6176780077165906,0.6168683149219709,30,1554086
49,0.0005,32,"[256, 128]",0.2,30,adam,0.5987222848553175,0.6175026306559102,0.6123093108890058,30,730278
50,0.005,128,"[512, 256, 128]",0.1,30,adam,0.5702743329575347,0.6160996141704665,0.6014378397334736,30,1554086
51,0.001,32,"[512, 256, 128]",0.1,20,adam,0.6498308906426156,0.6157488600491056,0.623180782044538,20,1554086
52,0.001,128,"[1024, 512, 256, 128]",0.1,30,adam,0.6279594137542277,0.6155734829884251,0.6194985095563739,30,3463846
53,0.0001,32,"[256, 128]",0.1,30,adam,0.6364148816234498,0.6143458435636618,0.6089777310187621,30,730278
54,0.0005,32,"[1024, 512, 256, 128]",0.1,20,adam,0.5969936114242765,0.6132935811995791,0.6117832719621252,20,3463846
55,0.005,32,"[1024, 512, 256, 128]",0.2,30,sgd,0.6028936490041338,0.6120659417748159,0.6089777310187621,30,3463846
56,0.001,64,"[256, 128]",0.1,15,adam,0.612326193160466,0.6115398105927745,0.6010871471155532,15,730278
57,0.0001,64,"[512, 256, 128]",0.1,30,adam,0.6546786922209695,0.6092599088039284,0.6045940732947571,30,1554086
58,0.001,128,"[256, 128]",0.1,15,adam,0.6013904547162721,0.6076815152578042,0.602665263896195,15,730278
59,0.0001,32,"[256, 128]",0.2,30,adam,0.597369409996242,0.6069800070150825,0.6049447659126775,30,730278
60,0.0001,64,"[512, 256, 128]",0.1,20,adam,0.5781285231116122,0.6066292528937215,0.6016131860424339,20,1554086
61,0.0001,64,"[256, 128]",0.1,30,adam,0.5924840285606915,0.6047001052262364,0.5970541820094687,30,730278
62,0.0001,64,"[512, 256, 128]",0.2,30,adam,0.5986095452837279,0.6045247281655559,0.5975802209363493,30,1554086
63,0.0005,32,"[512, 256, 128]",0.1,15,adam,0.5881247651258925,0.6043493511048755,0.5972295283184289,15,1554086
64,0.0001,64,"[1024, 512, 256, 128]",0.1,30,adam,0.6168733558812477,0.6043493511048755,0.5984569524811503,30,3463846
65,0.005,128,"[256, 128]",0.1,15,adam,0.5591882750845547,0.6034724658014732,0.6033666491320357,15,730278
66,0.001,32,"[256, 128]",0.1,30,sgd,0.6322810973318301,0.6027709575587513,0.5944239873750657,30,730278
67,0.005,128,"[256, 128]",0.1,20,adam,0.5862081924088689,0.6008418098912662,0.5956514115377871,20,730278
68,0.005,128,"[256, 128]",0.1,30,sgd,0.6596016535137167,0.6008418098912662,0.5889882517972996,30,730278
69,0.0005,64,"[256, 128]",0.1,15,adam,0.6085682074408117,0.5999649245878639,0.5924951779765036,15,730278
70,0.001,32,"[512, 256, 128]",0.1,30,adam,0.609282224727546,0.5997895475271835,0.6044187269857969,25,1554086
71,0.0005,128,"[256, 128]",0.2,15,adam,0.546335963923337,0.5997895475271835,0.5938979484481852,15,730278
72,0.0005,64,"[512, 256, 128]",0.1,20,adam,0.6473506200676438,0.5990880392844616,0.5872347887076977,20,1554086
73,0.0001,32,"[1024, 512, 256, 128]",0.1,30,adam,0.6423149192033071,0.5969835145562961,0.5921444853585832,30,3463846
74,0.0001,64,"[256, 128]",0.2,30,adam,0.5583990980834272,0.5969835145562961,0.5865334034718569,30,730278
75,0.005,64,"[256, 128]",0.3,30,sgd,0.5035700864336715,0.5962820063135742,0.5909170611958618,30,730278
76,0.0005,64,"[256, 128]",0.3,30,adam,0.5565576850807967,0.595054366888811,0.5870594423987375,30,730278
77,0.0001,32,"[512, 256, 128]",0.1,30,adam,0.6789928598271326,0.59470361276745,0.5912677538137823,30,1554086
78,0.0005,64,"[512, 256, 128]",0.1,15,adam,0.6438932732055618,0.592423710978604,0.5900403296510608,15,1554086
79,0.005,64,"[256, 128]",0.1,15,sgd,0.5650131529500187,0.5917222027358822,0.58039628265825,15,730278
80,0.001,64,"[1024, 512, 256, 128]",0.1,30,adam,0.6486283352123262,0.5917222027358822,0.593722602139225,30,3463846
81,0.0005,128,"[512, 256, 128]",0.1,15,adam,0.5650131529500187,0.5910206944931603,0.5781167806417675,15,1554086
82,0.001,64,"[512, 256, 128]",0.2,30,adam,0.5663284479518977,0.5908453174324798,0.5833771699105734,30,1554086
83,0.0001,32,"[256, 128]",0.1,20,adam,0.5547162720781661,0.5892669238863557,0.5784674732596878,20,730278
84,0.0005,128,"[512, 256, 128]",0.2,15,adam,0.5400601277715145,0.5887407927043142,0.5853059793091355,15,1554086
85,0.005,128,"[256, 128]",0.2,30,sgd,0.5957534761367906,0.5882146615222729,0.5870594423987375,30,730278
86,0.0005,32,"[256, 128]",0.2,20,adam,0.5823374671176249,0.5850578744300245,0.5814483605120112,20,730278
87,0.001,64,"[512, 256, 128]",0.1,20,adam,0.6197670048853814,0.5840056120659418,0.5917937927406628,20,1554086
88,0.0001,32,"[256, 128]",0.1,15,adam,0.5278842540398346,0.5813749561557349,0.5704015430475189,15,730278
89,0.0005,128,"[1024, 512, 256, 128]",0.1,30,adam,0.6499436302142052,0.5811995790950544,0.5768893564790462,30,3463846
90,0.005,128,"[256, 128]",0.1,30,adam,0.5938744832769636,0.580673447913013,0.5796948974224092,30,730278
91,0.001,32,"[256, 128]",0.2,20,adam,0.5672303645246148,0.580673447913013,0.5798702437313694,18,730278
92,0.005,32,"[512, 256, 128]",0.1,15,sgd,0.576174370537392,0.580322693791652,0.587585481325618,15,1554086
93,0.0001,128,"[512, 256, 128]",0.1,30,adam,0.5694475760992108,0.5790950543668888,0.5751358933894442,30,1554086
94,0.005,64,"[512, 256, 128]",0.2,30,sgd,0.5687711386696731,0.57576289021396,0.5646151148518324,30,1554086
95,0.0001,32,"[512, 256, 128]",0.1,15,adam,0.5488162344983089,0.5755875131532796,0.5639137296159916,15,1554086
96,0.001,32,"[1024, 512, 256, 128]",0.1,20,adam,0.5333709131905299,0.573132234303753,0.5661932316324741,20,3463846
97,0.0001,32,"[256, 128]",0.2,20,adam,0.4940248027057497,0.5726061031217117,0.5621602665263896,20,730278
98,0.0001,128,"[512, 256, 128]",0.2,30,adam,0.5435926343479894,0.571203086636268,0.5667192705593547,30,1554086
99,0.0001,128,"[256, 128]",0.1,30,adam,0.5343855693348365,0.5708523325149071,0.569700157811678,30,730278
100,0.005,32,"[256, 128]",0.2,30,sgd,0.5738068395340098,0.5699754472115047,0.5598807645099071,30,730278
101,0.0005,64,"[256, 128]",0.2,15,adam,0.5375422773393461,0.5682216766047001,0.5600561108188673,15,730278
102,0.0001,32,"[512, 256, 128]",0.3,20,adam,0.5144306651634724,0.5682216766047001,0.5577766088023847,20,1554086
