Rank,learning_rate,batch_size,kernel_size,padding,num_epochs,optimizer,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
45,0.005,64,5,1,20,sgd,0.9570838030815483,0.9658014731673097,0.9644046992810801,15,1310822
46,0.001,128,5,1,20,adam,0.8145809845922586,0.9654507190459488,0.9637033140452393,20,1310822
47,0.001,32,5,1,20,adam,0.7789928598271326,0.9652753419852683,0.9630019288093986,15,1310822
48,0.0005,128,3,0,30,adam,0.9130026305900037,0.9652753419852683,0.9665088549886025,23,1310822
49,0.001,32,5,0,30,adam,0.92423900789177,0.9650999649245878,0.9684376643871646,22,1310822
50,0.0005,32,5,1,20,adam,0.839270950770387,0.9650999649245878,0.9668595476065229,20,1310822
51,0.001,32,3,1,15,adam,0.8576850807966929,0.9649245878639074,0.9631772751183587,15,1310822
52,0.001,32,5,1,15,adam,0.8802705749718152,0.9649245878639074,0.9652814308258811,15,1310822
53,0.001,64,3,1,15,adam,0.8665539270950771,0.9649245878639074,0.9631772751183587,15,1310822
54,0.005,32,3,0,30,sgd,0.9457346862081925,0.964749210803227,0.9654567771348413,12,1310822
55,0.001,32,5,0,15,sgd,0.9442690717775273,0.9645738337425465,0.9652814308258811,15,1310822
56,0.0005,64,3,0,15,adam,0.8610672679443818,0.964398456681866,0.9656321234438016,15,1310822
57,0.0005,128,3,1,15,adam,0.8644118752348741,0.964398456681866,0.9666842012975627,15,1310822
58,0.0005,64,3,0,30,adam,0.8325441563322059,0.9642230796211856,0.9623005435735578,26,1310822
59,0.005,32,5,1,20,sgd,0.9692972566704247,0.9638723254998246,0.9605470804839558,19,1310822
60,0.001,32,5,0,20,adam,0.8143930853062759,0.9636969484391441,0.9619498509556373,20,1310822
61,0.001,32,3,0,20,sgd,0.9578729800826757,0.9635215713784637,0.9668595476065229,20,1310822
62,0.001,32,5,0,20,sgd,0.9570838030815483,0.9631708172571027,0.96422935297212,20,1310822
63,0.005,128,5,0,20,sgd,0.9618940248027058,0.9629954401964224,0.9654567771348413,20,1310822
64,0.0001,32,3,1,20,adam,0.9159714393085306,0.9629954401964224,0.962475889882518,20,1310822
65,0.001,128,3,0,30,adam,0.9078541901540774,0.9628200631357419,0.959845695248115,20,1310822
66,0.0005,64,5,1,20,adam,0.8642991356632845,0.9626446860750614,0.9640540066631598,20,1310822
67,0.005,128,3,0,30,sgd,0.9524990605035701,0.9624693090143809,0.960722426792916,18,1310822
68,0.001,32,3,1,30,sgd,0.9686208192408868,0.9624693090143809,0.9633526214273189,24,1310822
69,0.001,64,5,1,20,sgd,0.9382562946260804,0.9624693090143809,0.9630019288093986,20,1310822
70,0.005,64,3,1,15,adam,0.8819616685456595,0.9622939319537005,0.9623005435735578,15,1310822
71,0.0005,32,3,0,20,adam,0.8404359263434799,0.9622939319537005,0.96422935297212,20,1310822
72,0.0001,64,3,1,20,adam,0.9168357760240511,0.9622939319537005,0.9626512361914782,20,1310822
73,0.0001,64,3,1,30,adam,0.9452461480646374,0.9622939319537005,0.9630019288093986,28,1310822
74,0.001,32,5,1,30,sgd,0.9482149567831643,0.96211855489302,0.9573908469226723,17,1310822
75,0.005,64,3,1,30,sgd,0.9705749718151071,0.9619431778323395,0.9626512361914782,22,1310822
