Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc
1,2.249483232021511,0.8288562617064442,0.281510710259301,0.7630655910206945
2,0.8847128561052869,0.6485402206085055,0.6907553551296505,0.7292178183093652
3,0.5415876585081617,0.6546159135285531,0.8183389703119128,0.7820063135741845
4,0.40628491445440673,0.24357229209090484,0.8697482149567831,0.9261662574535251
5,0.32715779787299776,0.3090958740550441,0.8987222848553176,0.9140652402665731
6,0.26745132639169783,0.16555732882982468,0.9168733558812476,0.9501929147667485
7,0.23530165899498756,0.25830967282149214,0.9300263059000375,0.9251139950894423
8,0.19977090443179643,0.234991954718607,0.9422397594889139,0.9347597334268678
9,0.17926324995018314,0.2357836699499368,0.9485907553551296,0.9384426517011575
10,0.1529426419585999,0.3536790044544123,0.9567080045095828,0.9210803226937917
11,0.140404001966942,0.4973669132607803,0.9607666290868094,0.8945983865310417
